COUNTRY,DDATE,ZONES,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,AVG
Italy,12/12/2022,CALA,278.7,305.83,303.18,297.12,303.49,319.38,345.4,340,341.67,341.67,340,340,332.9,332.9,332.9,332.9,332.9,341.67,341.67,358.99,350,350,341.67,340,331.0391667
Italy,12/12/2022,CNOR,303.69,305.83,303.18,297.12,303.49,319.38,388.18,458.7,529.93,513.99,504.94,494.92,450.38,460.6,500,535.73,558.04,588.09,545.8,514.97,477.55,408.9,354,344.87,435.9283333
Italy,12/12/2022,CSUD,278.7,305.83,303.18,297.12,303.49,319.38,377.26,458.7,510.44,485.71,381.36,363.14,363.14,363.14,498.85,535.73,558.04,588.09,545.8,514.97,477.55,408.9,354,344.87,414.0579167
Italy,12/12/2022,NORD,303.69,305.83,303.18,297.12,303.49,319.38,388.18,458.7,529.93,513.99,504.94,494.92,450.38,460.6,500,535.73,558.04,588.09,545.8,514.97,477.55,408.9,354,344.87,435.9283333
Italy,12/12/2022,PUN,294.72,305.83,303.18,297.12,303.49,319.38,382.46,450.67,512.56,495.49,463.18,451.96,419.87,427.3,488.21,521.7,542.33,569.96,530.23,502.58,467.13,404.03,352.99,344.48,422.9520833
Italy,12/12/2022,SARD,278.7,305.83,303.18,297.12,303.49,319.38,377.26,458.7,510.44,485.71,381.36,363.14,363.14,363.14,498.85,535.73,558.04,588.09,545.8,514.97,477.55,408.9,354,344.87,414.0579167
Italy,12/12/2022,SICI,278.7,305.83,303.18,297.12,303.49,319.38,345.4,340,341.67,341.67,327.4,327.4,327.4,327.4,327.4,327.4,332.9,341.67,341.67,358.99,350,350,341.67,340,329.0725
Italy,12/12/2022,SUD,278.7,305.83,303.18,297.12,303.49,319.38,377.26,458.7,510.44,485.71,381.36,363.14,363.14,363.14,498.85,535.73,558.04,588.09,545.8,514.97,477.55,408.9,354,344.87,414.0579167
Italy,12/13/2022,CALA,313.13,308.26,295.35,284.66,287.42,300,322.28,322.28,322.28,331.9,322.28,319.04,314.01,314.01,322.28,322.28,322.28,325,350,350,350,350,325,314.01,320.3229167
Italy,12/13/2022,CNOR,313.13,308.26,295.35,284.66,287.42,316.07,368.9,499.7,571.76,553.29,550.1,552.55,501.52,506.03,552.71,570.25,590,605.7,602.98,526.38,461.6,372,337.97,330.07,452.4333333
Italy,12/13/2022,CSUD,313.13,308.26,295.35,284.66,287.42,300,322.28,343.58,353.69,348.9,328.88,319.04,329.99,328.32,359.75,511.93,573,600.1,573.46,526.38,461.6,365.52,330.74,314.01,378.3329167
Italy,12/13/2022,NORD,313.13,308.26,295.35,284.66,287.42,316.07,368.9,499.7,571.76,553.29,550.1,552.55,501.52,506.03,552.71,570.25,590,605.7,602.98,526.38,461.6,372,337.97,330.07,452.4333333
Italy,12/13/2022,PUN,313.13,300.11,287.65,276.4,278.87,302.3,346.06,450.22,503.21,488.83,480.72,480.14,445.12,448.31,489.72,538.33,567.03,583.56,575.8,512.34,452.51,368.43,334.91,324.47,422.8404167
